[2025-06-09 13:24:25,380] 19 root - INFO - Initiate the data Ingestion
[2025-06-09 13:25:13,874] 65 root - INFO - Performed train test split on the dataframe
[2025-06-09 13:25:13,874] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-09 13:25:13,878] 75 root - INFO - Exporting train and test file path.
[2025-06-09 13:25:14,081] 84 root - INFO - Exported train and test file path.
[2025-06-09 13:25:14,082] 21 root - INFO - Data Initiation Completed
[2025-06-09 13:25:14,089] 25 root - INFO - Initiate the data validation
[2025-06-09 13:25:14,268] 32 root - INFO - Required number of columns:2
[2025-06-09 13:25:14,269] 33 root - INFO - Data frame has columns:31
[2025-06-09 13:25:14,269] 32 root - INFO - Required number of columns:2
[2025-06-09 13:25:14,269] 33 root - INFO - Data frame has columns:31
[2025-06-09 13:25:14,695] 27 root - INFO - data validation completed
[2025-06-09 13:25:14,697] 30 root - INFO - Data Transformation Started
[2025-06-09 13:25:14,697] 61 root - INFO - Entered initiate_data_tranformation method of DataTransformation class
[2025-06-09 13:25:14,697] 64 root - INFO - Starting data transformation
[2025-06-09 13:25:14,783] 48 root - INFO - Entered get_transformer_object method of Transformation class
[2025-06-09 13:25:14,784] 52 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-09 13:25:14,815] 50 root - INFO - Enter the save_object method of main utils
[2025-06-09 13:25:14,822] 54 root - INFO - Exited the save_object method of mainutils class
[2025-06-09 13:25:14,825] 34 root - INFO - Data Transformation Completed
[2025-06-09 13:25:14,826] 36 root - INFO - Model Training sstared
